"name","position","department","degree"
"ABBOTT,DAVID H.","Professor","Obstetrics &amp; Gynecology","PHD 1979 University of Edinburgh"
"ABD-ELSAYED,ALAA A","Assoc Professor (Chs)","Anesthesiology","MD 2000 University of Assiut"
"ABDUALLAH,FAISAL","Professor","Art","PHD 2012 Royal College of Art"
"ABRAHAM,OLUFUNMILOLA","Assistant Professor","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"ABRAMS,SAMANTHA","Assoc Lecturer","Information School","MA 2017 Univ of Wisconsin-Madison"
"ABRAMSON,LYN","Professor","Psychology","PHD 1978 University of Pennsylvania"
"ACKER,LINDSAY","Lecturer","Accting &amp; Info Sys","MACC 2005 Univ of Wisconsin-Madison"
"ACKERMAN,STEVEN","Professor","Atmospheric &amp; Oceanic Sciences","PHD 1987 Colorado State University"
"ADAMCZYK,PETER GABRIEL","Assistant Professor","Mechanical Engineering","PHD 2008 Univ of Michigan at Ann Arbor"
"ADAMES-CORRALIZA,ANGEL","Assistant Professor","Atmospheric &amp; Oceanic Sciences","PHD 2018 University of Washington"
"ADAMS,AERON","Clinical Asst Prof","Nursing","DNP 2017 Univ of Wisconsin-Madison"
"ADAMS,MEGAN","Asst Faculty Assoc","Information School","MA  University of South Florida"
"ADCOCK,SARAH","Assistant Professor","Animal And Dairy Sciences","PHD 2020 Univ of California Davis"
"ADDINGTON,REBECCA LYNN","Senior Lecturer","Psychology","PHD 1998 Univ of Wisconsin-Madison"
"ADDO,FENABA","Associate Professor","School Of Human Ecology","PHD 2012 Ithaca College"
"ADELL,SANDRA","Professor","Afro-American Studies","PHD 1989 Univ of Wisconsin-Madison"
"AFFI,ABOUD","Clinical Adjunct Professor","Volunteer Staff","MD 1989 University Of Aleppo"
"AGARWAL,PRIYANKA","Assistant Professor","Curriculum And Instruction","PHD 2019 Univ of California Irvine"
"AGASIE,ROBERT","Instrmt Innovator/Ins","Engineering Research Center","MS 1997 Univ of Wisconsin-Madison"
"AGOKE,ADEOLA","Asst Faculty Assoc","African Cultural Studies","PHD 2019 Univ of Wisconsin-Madison"
"AHLQUIST,PAUL GERALD","Professor","Plant Pathology","PHD 1981 Univ of Wisconsin-Madison"
"AHMAD,JAMEEL","Senior Lecturer","South Asian Sum Lang Instit",NA
"AHMAD,NIHAL","Professor","Dermatology","PHD 1989 University of Lucknow"
"AHMED,AZAM SYED","Assoc Professor (Chs)","Neurological Surgery","MD 2003 Loyola University of Chicago"
"AHN,JAERIN","Assoc Faculty Assoc","Asian Languages &amp; Cultures","MA 2013 Ewha Womans University"
"AHN,SUE","Professor","Civil &amp; Environmental Engr","PHD  Univ of California Berkeley"
"AHN,YEOHYUN","Assistant Professor","Art","MFA 2007 Maryland Institute Colg Of Art"
"AHRENS,SARAH ELIZABETH","Clinical Assoc Prof","Medicine","MD 2002 U of California San Francisco"
"AI,ALBERT L","Visiting Asst Prof","Mathematics","PHD 2019 Univ of California Berkeley"
"AIKEN,JEFFREY P","Adjunct Instructor","Law School","JD 1972 Marquette University"
"AIZAWA,NAOKI","Assistant Professor","Economics","PHD 2014 University of Pennsylvania"
"AJMANI,VIVEK","Assoc Faculty Assoc","Engr Professional Development","PHD  "
"AKELLA,ADITYA","Professor","Computer Sciences","PHD 2005 Carnegie-Mellon University"
"AL-ADRA,DAVID","Assistant Professor","Surgery","PHD 2012 University of Alberta"
"AL-SUBU,AWNI M","Asst Professor (Chs)","Pediatrics","MD 2005 Al-Quds University"
"ALAGOZ,OGUZHAN","Professor","Industrial &amp; Systems Engr","PHD 2004 University of Pittsburgh"
"ALARID,ELAINE","Professor","Oncology","PHD 1991 Univ of California Berkeley"
"ALATOUT,SAMER N","Associate Professor","Community &amp; Environ Sociology","PHD 2002 Cornell University"
"ALBARGHOUTHI,AWS","Assistant Professor","Computer Sciences","PHD 2014 University of Toronto"
"ALBERS,CRAIG","Associate Professor","Educational Psychology","PHD 2002 Arizona State University"
"ALBERT,LAURA","Professor","Industrial &amp; Systems Engr","PHD 2006 Univ of IL at Urbana-Champaign"
"ALBERTINI,MARK RICHARD","Professor","Medicine","MD 1984 University of Vermont"
"ALCALA GALAN,MERCEDES","Associate Professor","Spanish And Portuguese","PHD 1994 Univ Complutense de Madrid"
"ALDAG,RAY","Professor","Management &amp; Human Resources","PHD 1974 Michigan State University"
"ALDER,SIMEON DAVID","Faculty Associate","Economics","PHD 2009 Univ of California Los Angeles"
"ALESSANDRINO,KAYLA","Clinical Instructor","Medical Sciences",NA
"ALEXANDER,ANDREW LAFAYETTE","Professor","Medical Physics","PHD 1994 University of Arizona"
"ALEXANDER,ANGELA","Faculty Associate","English","MA 2007 University Of Central Florida"
"ALEXANDER,LACEY ANN","Clinical Asst Prof","Nursing","PHD 2018 Univ of Wisconsin-Madison"
"ALI,SHANTEL D","Asst Prof Of Mil Sci","Military Science","BA 2002 "
"ALI,SYED EKHTEYAR","Senior Lecturer","South Asian Sum Lang Instit","PHD  "
"ALIBALI,MARTHA W.","Professor","Psychology","PHD 1994 University of Chicago"
"ALISCH,REID S","Assistant Professor","Neurological Surgery","PHD 2003 Univ of Michigan at Ann Arbor"
"ALLEN,CAITILYN","Professor","Plant Pathology","PHD 1987 VA Polytechnic Inst &amp; State U"
"ALLEN,DAVID","Professor","Pediatrics","MD 1980 Duke University"
"ALLEN,HEATHER","Associate Professor","French And Italian","PHD 2002 Emory University"
"ALLEN,MATT","Professor","Engineering Physics","PHD 2005 Georgia Inst of Technology"
"ALLEWAERT,MONIQUE","Associate Professor","English","PHD 2006 Duke University"
"ALLIE,MARK C","Faculty Associate","Electrical &amp; Computer Engr","MS 1983 Univ of Wisconsin-Madison"
"ALONSO,ARACELI","Dis Lecturer","Gender And Women Studies","PHD 2002 Univ of Wisconsin-Madison"
"ALTINO,SOH-HYUN PARK","Associate Professor","Mead Witter School Of Music","PHD 2002 Cleveland Institute Of Music"
"ALTSCHAFL,BETH","Faculty Associate","Academic Affairs","PHD 2006 Univ of Wisconsin-Madison"
"ALTSECH,MOSES","Lecturer","Marketing","PHD 1996 Pennsylvania State University"
"ALTWIES,JOY","Faculty Associate","Engr Professional Development","PHD 2013 Univ of Wisconsin-Madison"
"ALVAREZ,ELIZABETH E","Clinical Asst Prof","Medical Sciences","DVM 2003 Michigan State University"
"ALVAREZ,SAYLIN","Senior Lecturer","Spanish And Portuguese","PHD  Univ of Wisconsin-Madison"
"AMADOR-NOGUEZ,DANIEL","Associate Professor","Bacteriology","PHD 2007 Baylor University"
"AMANN,KURT","Associate Professor","Integrative Biology","PHD 1999 Univ of Wisconsin-Madison"
"AMASINO,RICHARD M.","Professor","Biochemistry","PHD 1982 Indiana University"
"AMATO,FELICE CATHERINE","Lecturer","Art","PHD 2018 Univ of Wisconsin-Madison"
"AMINE,LAILA","Associate Professor","English","PHD 2011 Indiana University"
"AMSBARY,PAUL","Adjunct Assoc Prof","Information School","MS 2007 Georgia Inst of Technology"
"AN,PANDUAN","Visiting Asst Prof","Statistics","PHD 2019 Ohio University"
"AN,ZHE GIGI","Assistant Professor","Rehab Psychology &amp; Special Ed","PHD 2018 University of Kansas"
"ANANTHARAMAN,KARTHIK","Assistant Professor","Bacteriology","PHD 2014 Univ of Michigan at Ann Arbor"
"ANCOS GARCIA,PABLO","Associate Professor","Spanish And Portuguese","PHD 2004 Univ of Wisconsin-Madison"
"ANDERSEN,CLAUS E","Assistant Professor","German, Nordic &amp; Slavic","PHD 2015 University of Helsinki"
"ANDERSON,DAVID","Professor","Electrical &amp; Computer Engr","PHD 1984 Univ of Wisconsin-Madison"
"ANDERSON,DAVID F","Professor","Mathematics","PHD 2005 Duke University"
"ANDERSON,KATHRYN","Lecturer","Community &amp; Environ Sociology","PHD 2019 Univ of Wisconsin-Madison"
"ANDERSON,LORI","Assistant Professor","Nursing","PHD 2006 Univ of Wisconsin-Madison"
"ANDERSON,MARK","Assistant Professor","Mechanical Engineering","PHD 1998 Univ of Wisconsin-Madison"
"ANDERSON,PETER","Senior Lecturer","Nutritional Sciences","MS 1995 Univ of Wisconsin-Madison"
"ANDERSON,RICHARD A.","Professor","Administration","PHD 1982 Univ of Minnesota-Twin Cities"
"ANDERSON,ROZALYN","Associate Professor","Medicine","PHD 1999 Univ of Dublin-Trinity College"
"ANDES,DAVID R.","Professor","Medicine","MD 1992 Univ of Missouri-Columbia"
"ANDREAE,SUSAN J","Assistant Professor","Kinesiology","PHD 2015 Univ of Alabama at Birmingham"
"ANDRESEN,CHRISTIAN G.","Assistant Professor","Geography","PHD 2014 University Of Texas At El Paso"
"ANDREWS,JOSEPH","Assistant Professor","Mechanical Engineering","PHD 2019 Duke University"
"ANDREWS,LISA M","Assoc Faculty Assoc","Consumer Science","MBA 2004 Univ of Wisconsin-Madison"
"ANDREWS,URI","Associate Professor","Mathematics","PHD 2010 Univ of California Berkeley"
"ANDRZEJEWSKI,ANNA","Professor","Art History","PHD 2001 University of Delaware"
"ANE,CECILE","Professor","Botany","PHD 2000 U de Toulouse II (Le Mirail)"
"ANE,JEAN-MICHEL","Professor","Bacteriology","PHD 2002 U de Toulouse II (Le Mirail)"
"ANEX,ROBERT","Professor","Biological Systems Engineering","PHD 1995 Univ of California Davis"
"ANGENENT,SIGURD B.","Professor","Mathematics","PHD 1986 State Univ Of Leiden"
"ANGULO BRACHO,HERNAN LIZARDO","Clinical Instructor","Medical Sciences","DVM 1999 Univ Ncnl Autonoma de Mexico"
"ANGUS,JENNIFER","Professor","School Of Human Ecology","MFA 1991 Sch Of The Art Inst Of Chicago"
"ANIBAS,CALLI","Assoc Research Spec","Agronomy","MS 2020 Univ of Wisconsin-Madison"
"ANIBAS,MELISSA","Clinical Asst Prof","Nursing","MSN 2007 Univ of Wisconsin-Eau Claire"
"ANJUM,UMAR","Research Specialist","Asian Studies","M.PHIL  "
"ANNA,ERIKA","Asst Faculty Assoc","Nutritional Sciences","BS 2013 Univ of Wisconsin-Madison"
"ANSARI,ASEEM Z","Professor","Biochemistry","PHD 1995 Northwestern University"
"ANTONY,KATHLEEN","Asst Professor (Chs)","Obstetrics &amp; Gynecology","MD 2008 University Of Rochester"
"ARCHAMBAULT,JOHN","Assistant Dean/L","Engineering Student Developmnt","MS 1996 Univ of Wisconsin-Green Bay"
"ARCHDEACON,THOMAS J.","Professor","History","PHD 1971 Columbia University"
"ARD,BJ","Assistant Professor","Law School","PHD 2017 Yale University"
"AREFEVA,ALINA","Assistant Professor","Real Estate &amp; Urgan Land Econ","PHD  Stanford University"
"ARENDT,LISA","Assistant Professor","Comparative Biosciences","PHD 2002 Univ of Wisconsin-Madison"
"ARFA,SANDRA","Faculty Associate","English","MA 1972 Univ of Wisconsin-Madison"
"ARINKIN,DIMA","Professor","Mathematics","PHD  Harvard University"
"ARMSTRONG,GRANT W","Associate Professor","Spanish And Portuguese","PHD 2011 Georgetown University"
"ARMSTRONG,JOSHUA","Associate Professor","French And Italian","PHD 2013 University of Virginia"
"ARNDT,KIMBERLY KEGEL","Clinical Adjunct Asst Prof","Volunteer Staff","MD 2005 Univ of Wisconsin-Madison"
"ARNOLD,MICHAEL","Professor","Materials Science&amp;Engineering","PHD 2006 Northwestern University"
"ARNOLDY,COURTNEY JEANNE","Clinical Instructor","Small Animal Iii","DPT 1994 Univ of Wisconsin-Madison"
"ARORA,NEERAJ","Professor","Marketing","PHD 1995 Ohio State University"
"ARPACI-DUSSEAU,ANDREA C.","Professor","Computer Sciences","PHD 1998 Univ of California Berkeley"
"ARPACI-DUSSEAU,REMZI H.","Professor","Computer Sciences","PHD 1998 Univ of California Berkeley"
"ARRIAGA,FRANCISCO","Associate Professor","Soil Science","PHD 2000 Univ of Wisconsin-Madison"
"ARRIOLA APELO,SEBASTIAN I","Assistant Professor","Animal And Dairy Sciences","PHD 2013 VA Polytechnic Inst &amp; State U"
"ARTHUR,EMILY","Associate Professor","Art","MFA 2000 Pennsylvania Acad Of Fine Arts"
"ASCHENBROICH,SOPHIE ANN","Clinical Asst Prof","Pathobiological Sciences","PHD 2014 "
"ASEN,ROBERT","Professor","Communication Arts","PHD 1998 Northwestern University"
"ASHTON,LYDIA MAGDALENA TEJEDA","Assistant Professor","School Of Human Ecology","PHD 2014 Univ of California Berkeley"
"ASHTON,RANDOLPH","Associate Professor","Biomedical Engineering","PHD 2007 Rensselaer Polytechnic Inst"
"ASIF,MUHAMMAD","Lecturer","Asian Languages &amp; Cultures","EDD 2015 University of Leeds"
"ASMUS,JENNIFER M","Professor","Educational Psychology","PHD 1995 University of Iowa"
"ASSADI-PORTER,FARIBA MASOUMEH","Assoc Lecturer","Integrative Biology","PHD 1994 Univ of Wisconsin-Madison"
"ASTOR,BRAD C","Professor","Medicine","PHD 2000 Johns Hopkins University"
"ASTRELLA,JULIE","Clinical Assoc Prof","Nursing","MSN 2009 Edgewood College"
"ATAPATTU,SUMUDU","Dis Admin Prgm Spec","Law School","PHD 1995 University of Cambridge"
"ATTIE,ALAN DAVID","Professor","Biochemistry","PHD 1980 Univ of California San Diego"
"ATUCHA,AMAYA","Assistant Professor","Horticulture","PHD 2012 Cornell University"
"AUDHYA,ANJON","Professor","Biomolecular Chemistry","PHD 2002 Univ of California San Diego"
"AUERBACH,EMILY KATE","Professor","Liberal Arts &amp; Applied Studies","PHD 1981 University of Washington"
"AUGER,ANTHONY","Professor","Psychology","PHD 1998 Univ of Massachusetts Amherst"
"AUGHENBAUGH,WILLIAM","Professor (Chs)","Dermatology","MD 1997 Medical College Of Wisconsin"
"AULIK,NICOLE ANN","Clinical Asst Prof","Madison Microbiology","PHD 2010 Univ of Wisconsin-Madison"
"AUNG,HTET HTET","Assoc Lecturer","Information School","MS 2003 Carnegie-Mellon University"
"AUSDERAU,KARLA","Associate Professor","Kinesiology","PHD 2009 Univ of Southern California"
"AUSTERWEIL,JOE","Assistant Professor","Psychology","PHD 2012 Univ of California Berkeley"
"AVEY,GREGORY","Assoc Professor (Chs)","Radiology","MD 2005 University of Washington"
"AVRAMENKO,RICHARD","Professor","Political Science","PHD 2004 Georgetown University"
"AYARI BEN HADJ KACEM,MOUNA","Assoc Faculty Assoc","Computer Sciences","PHD 2009 Uni Pierre&amp;Marie Curie Paris"
"AYD,SHARON W","Adjunct Assoc Prof","Pharmacy","PHD  Univ of Illinois at Chicago"
"AZOCAR,SAMUEL ALEJANDRO","Senior Lecturer","English","PHD 2011 Univ of Wisconsin-Madison"
"AZODI,JAHANA","Asst Faculty Assoc","Theatre &amp; Drama","MFA 2014 University of Cincinnati"
"BABAL,JESSICA","Asst Professor (Chs)","Pediatrics","MD 2012 University of Cincinnati"
"BABAR,YASH","Assistant Professor","Operations &amp; Information Mgmt","PHD 2020 Univ of Minnesota-Twin Cities"
"BABCOCK,SUE","Professor","Materials Science&amp;Engineering","PHD 1987 Massachusetts Inst Of Tech"
"BACH,ERIC","Professor","Computer Sciences","PHD 1984 Univ of California Berkeley"
"BACH,JONATHAN F.","Clinical Assoc Prof","Medical Sciences","DVM 2000 Univ Of Minnesota-St Paul"
"BACH,TAIYA RENAE","Asst Faculty Assoc","Nutritional Sciences","MPH 2008 Tulane University"
"BACK,LARISSA E","Associate Professor","Atmospheric &amp; Oceanic Sciences","PHD 2007 University of Washington"
"BAHIA,HUSSAIN U.","Professor","Civil &amp; Environmental Engr","PHD 1991 Pennsylvania State University"
"BAI,YANG","Associate Professor","Physics","PHD  Yale University"
"BAILEY,HANNAH E","Assistant Dean/M","Admin:Student Academic Affairs","MA 2013 Clg of William &amp; Mary-Virginia"
"BAIR,JESSE JONAS","Adjunct Instructor","Law School","JD 2013 "
"BAIRD,IAN","Professor","Geography","PHD 2008 University of British Columbia"
"BAKER,ANGIE","Clinical Instructor","Nursing","MS 2009 Univ of Wisconsin-Madison"
"BAKER,BERNADETTE","Professor","Curriculum And Instruction","PHD 1997 Univ of Wisconsin-Madison"
"BAKER,TRACY","Associate Professor","Comparative Biosciences","PHD 2001 Univ of Wisconsin-Madison"
"BAKKEN,LORI","Honorary Assoc/Fellow","Civil Society And Comm Studies","PHD 1998 Univ of Wisconsin-Madison"
"BAKSHI,VAISHALI P","Associate Professor","Psychiatry","PHD 1998 Univ of California San Diego"
"BAL,AYDIN","Professor","Rehab Psychology &amp; Special Ed","PHD 2009 Arizona State University"
"BALANTEKIN,A. B.","Professor","Physics","PHD 1982 Yale University"
"BALDACCHINO,JOHN","Professor","Art","PHD 1994 University of Warwick"
"BALDO,BRIAN A","Associate Professor","Psychiatry","PHD 1998 Univ of California San Diego"
"BALDRIDGE,BIANCA J.","Associate Professor","Educational Policy Studies","PHD 2012 Columbia University"
"BALDRIDGE,ELIZABETH M","Lecturer","Counseling Psychology","EDM 2016 Univ of Wisconsin-La Crosse"
"BALDWIN,CODY","Faculty Associate","Ft Mba Program Office","MBA 2013 "
"BALLESTEROS CHAVEZ,JESUS A","Assoc Lecturer","Integrative Biology","PHD 2017 George Washington University"
"BALSTER,NICK","Professor","Soil Science","PHD 1999 University of Idaho"
"BANERJEE,MOU","Assistant Professor","History","PHD 2018 Harvard University"
"BANERJEE,SUMAN","Professor","Computer Sciences","PHD 2003 Univ of MD-University College"
"BANKS,MATTHEW ISAAC","Professor","Anesthesiology","PHD 1992 Univ of Wisconsin-Madison"
"BARAK,PHILLIP","Professor","Soil Science","PHD 1987 Hebrew University of Jerusalem"
"BARAK-CUNNINGHAM,JERI","Professor","Plant Pathology","PHD 2000 Univ of California Davis"
"BARBATO,ERIN MURPHY","Clinical Asst Prof","Law School","JD 2006 Marquette University"
"BARCELOS,CHRIS","Assistant Professor","Gender And Women Studies","PHD 2016 Univ of Massachusetts Amherst"
"BARCZI,STEVE","Professor (Chs)","Medicine","MD 1989 Univ of Illinois at Chicago"
"BARFORD,CAROL L","Senior Lecturer","Sustainability&amp;Global Environ","PHD 1997 Harvard University"
"BARFORD,PAUL R","Professor","Computer Sciences","PHD 2000 Boston University"
"BARGER,AMY JOSEPHINE","Professor","Astronomy","PHD 1997 University of Cambridge"
"BARGER,VERNON","Professor","Physics","PHD 1963 Pennsylvania State U-Hershey"
"BARHAM,BRADFORD","Professor","Agricultural&amp;Applied Economics","PHD 1988 Stanford University"
"BARICH,JOSEPH","Senior Lecturer","Engr Professional Development","JD  Boston College"
"BARLETT,CARL","Lecturer","Risk &amp; Insurance","JD 2009 Univ of Wisconsin-Madison"
"BARNARD,ERLIN","Dis Faculty Associate","Asian Languages &amp; Cultures","PHD 2004 Leeds Metropolitan University"
"BARNARD,MARK","Lecturer","Ft Mba Program Office","PHD 2002 "
"BARNES,JILL","Assistant Professor","Kinesiology","PHD 2009 University of Texas at Austin"
"BARNETT,SUSANNE","Assoc Professor (Chs)","Pharmacy","PHARMD 2004 Univ of Wisconsin-Madison"
"BARRETT,BRUCE PATRICK","Professor","Family Medicine","PHD 1992 Univ of Wisconsin-Madison"
"BARRETT,KEVIN","Assoc Lecturer","Botany","PHD 2019 Univ of Wisconsin-Madison"
"BARRETT,PATRICK STEPHEN","Assoc Faculty Assoc","Sociology","PHD 1997 Univ of Wisconsin-Madison"
"BARRY,AMY QUAN","Professor","English","MFA 1997 Univ of Michigan at Ann Arbor"
"BARRY,LYNDA","Professor","Art","BA 1978 Evergreen State College"
"BART,DAVID J.","Associate Professor","Planning &amp; Landscape Arch","PHD 2003 Rutgers State Univ-Newark"
"BARTA,CHERI","Faculty Associate","Chemistry","PHD 2007 University of British Columbia"
"BARTFELD,JUDITH","Professor","School Of Human Ecology","PHD 1997 Univ of Wisconsin-Madison"
"BARTH,MICHAEL","Assoc Lecturer","Accting &amp; Info Sys","MACC 2020 Univ of Wisconsin-Madison"
"BARTHOLOMAY,LYRIC C","Professor","Pathobiological Sciences","PHD 2004 Univ of Wisconsin-Madison"
"BARTHOLOMEW,KYLE","Clinical Instructor","Surgical Sciences","DVM 2017 Univ of Wisconsin-Madison"
"BARTLETT,HEATHER L","Professor (Chs)","Pediatrics","MD 1995 University of Arizona"
"BARTLETT,LESLEY","Professor","Educational Policy Studies","PHD 2001 Univ Of NC At Chapel Hill"
"BARTOL,LAURA JEAN","Assoc Faculty Assoc","Engineering Physics","DS 2013 Univ of Wisconsin-Madison"
"BARZEN,JEB","Adjunct Asst Prof","Planning &amp; Landscape Arch","MS 1989 University of North Dakota"
"BASHIRULLAH,ARASH","Associate Professor","Pharmacy","PHD 1999 California Institute of Tech"
"BASKAYA,MUSTAFA K","Professor","Neurological Surgery","MD 1987 Ankara University"
"BATES,DESIREE M.","Inform Process Conslt","Chemistry","PHD 2010 University Of Mississippi"
"BATES,ERIK","Visiting Asst Prof","Mathematics","PHD 2019 Stanford University"
"BATT,BOB","Associate Professor","Operations &amp; Information Mgmt","PHD 2013 University of Pennsylvania"
"BATZLI,JANET MC CRAY","Dis Faculty Associate","Biology Core Curriculum","PHD 1998 Univ of IL at Urbana-Champaign"
"BAUER,ADAM","Asst Professor (Chs)","Pediatrics","MD 2012 University of Iowa"
"BAUER,ANNIE","Assistant Professor","Geoscience","PHD 2017 Massachusetts Inst Of Tech"
"BAUER,DANIEL","Professor","Risk &amp; Insurance","DS 2007 Universitat Ulm"
"BAUER-ARMSTRONG,CHERYL","Faculty Associate","Planning &amp; Landscape Arch","MA 2003 Harvard University"
"BAUM,DAVID","Professor","Botany","PHD 1991 Washington University"
"BAUTISTA MENDOZA,GLORIA ROCIO","Senior Lecturer","Statistics","MS2 2009 "
"BAUTISTA,LEONELO E","Associate Professor","Population Health Sciences","PHD 1993 Johns Hopkins University"
"BAVAFA,HESSAM","Assistant Professor","Operations &amp; Information Mgmt","PHD 2014 University of Pennsylvania"
"BAYOUTH,JOHN E","Professor","Human Oncology","PHD 1993 Univ of TX Health Sci Center"
"BAZALAKOVA,MIHAELA H","Asst Professor (Chs)","Neurology","PHD 2008 Vanderbilt University"
"BEA,MEGAN DOHERTY","Assistant Professor","School Of Human Ecology","PHD 2019 Cornell University"
"BEACH,JEREMY PAUL","Assoc Faculty Assoc","Agricultural&amp;Applied Economics","MS 2011 Univ of Wisconsin-Madison"
"BEAMSLEY,MARK B","Clinical Assoc Prof","Family Medicine","MD 1999 Loyola University of Chicago"
"BEAN,DEREK MERRILL","Assoc Faculty Assoc","Statistics","PHD 2014 Univ of California Berkeley"
"BEARDEN,ELIZABETH B","Professor","English","PHD 2006 New York University"
"BEATTIE,ROBERT","Faculty Associate","Academic Programs","PHD 1998 Massachusetts Inst Of Tech"
"BECHTOL,KEITH","Assistant Professor","Physics","PHD 2012 Stanford University"
"BECKER,AMY ELIZABETH","Faculty Associate","Academic Affairs","MA  Univ of Wisconsin-Madison"
"BECKER,MEL","Lecturer","Art","MA  Sch Of The Art Inst Of Chicago"
"BECKHAM,SARAH","Asst Faculty Assoc","Asian Studies","PHD 2016 Univ of Wisconsin-Madison"
"BEDNAREK,SEBASTIAN YORK","Professor","Biochemistry","PHD 1992 Michigan State University"
"BEDNARZ,BRYAN P","Associate Professor","Medical Physics","PHD 2008 Rensselaer Polytechnic Inst"
"BEEBE,DAVID J","Professor","Pathology&amp;Laboratory Medicine","PHD 1994 Univ of Wisconsin-Madison"
"BEEBE,REBECCA","Sr Student Serv Coord","Academic Affairs","MS 2004 Univ of Wisconsin-Whitewater"
"BEGAM,RICHARD J.","Professor","English","PHD 1989 University of Virginia"
"BEHDAD,NADER","Professor","Electrical &amp; Computer Engr","PHD 2006 Univ of Michigan at Ann Arbor"
"BEHM,JENNA LYNN","Lecturer","Counseling Psychology","PSYD 2014 North Central University"
"BEHNKE,RACHEL","Assoc Lecturer","Information School","MLIS 2016 Univ of Wisconsin-Madison"
"BEIA,SUZANNE","Artist-In-Residence","Mead Witter School Of Music","OQUAL  "
"BEILIN,KATARZYNA O","Professor","Spanish And Portuguese","PHD 1998 University of Chicago"
"BELL,DAVID R","Associate Professor","Kinesiology","PHD 2010 Univ Of NC At Chapel Hill"
"BELL,MICHAEL M","Professor","Community &amp; Environ Sociology","PHD 1992 Yale University"
"BELLING,SHAWN D","Lecturer","Engr Professional Development","MS  "
"BELLMORE,AMY","Professor","Educational Psychology","PHD 2001 University of Connecticut"
"BELTRAN PORTALES,DAVID","Visiting Asst Prof","Mathematics","PHD 2017 University of  Birmingham"
"BEMENT,WILLIAM M.","Professor","Integrative Biology","PHD 1991 Arizona State University"
"BENALLY THOMPSON,BRET ROBERT","Clinical Asst Prof","Medicine","MD 2004 Univ of Minnesota-Twin Cities"
"BENDLIN,BARBARA B","Associate Professor","Medicine","PHD 2006 University of Arizona"
"BENEKER,JEFF","Professor","Classic &amp; Ancient Near E Stds","PHD 2002 Univ Of NC At Chapel Hill"
"BENGSON,JOHN T","Associate Professor","Philosophy","PHD 2010 University of Texas at Austin"
"BENGURIA DEPASSIER,SOLEDAD","Asst Faculty Assoc","Mathematics","PHD 2014 Univ of Wisconsin-Madison"
"BENNETT,ALLYSON J","Professor","Psychology","PHD 1996 University Of Memphis"
"BENSKY,ANNE MARYSE","Adjunct Instructor","Law School","JD 2008 Univ of Wisconsin-Madison"
"BENSON,MARK E","Assoc Professor (Chs)","Medicine","MD 2002 Dartmouth College"
"BENT,ANDREW","Professor","Plant Pathology","PHD 1989 Massachusetts Inst Of Tech"
"BENTLEY,ELLISON","Clinical Professor","Surgical Sciences","DVM 1993 University of Florida"
"BENTZ,MICHAEL L","Professor","Surgery","MD 1984 Temple University"
"BERGER,LAWRENCE M","Professor","Social Work","PHD 2002 Columbia University"
"BERGMANN,UWE","Professor","Physics","PHD 1994 SUNY At Stony Brook"
"BERKELMAN,JIM","Faculty Associate","Forest &amp; Wildlife Ecology","PHD 1997 VA Polytechnic Inst &amp; State U"
"BERLAND,LEEMA","Associate Professor","Curriculum And Instruction","PHD 2008 Northwestern University"
"BERLAND,MATTHEW","Associate Professor","Curriculum And Instruction","PHD 2008 Northwestern University"
"BERNARD,KRISTEN","Professor","Pathobiological Sciences","PHD 1995 Univ of Wisconsin-Madison"
"BERNARD-DONALS,MICHAEL","Professor","English","PHD 1991 SUNY At Stony Brook"
"BERNER,COURTNEY","Assoc Faculty Assoc","Cooperatives, Univ Center For","MS 2011 Univ of Wisconsin-Madison"
"BERNHARDT,DAVID T.","Professor (Chs)","Pediatrics","MD 1989 Univ of Wisconsin-Madison"
"BERRIDGE,CRAIG","Professor","Psychology","PHD 1988 University of Florida"
"BERRY,JOHN FERGUSON","Professor","Chemistry","PHD 2004 Texas A &amp; M University"
"BERSHADY,MATTHEW A.","Professor","Astronomy","PHD 1992 University of Chicago"
"BERSON,ARGANTHAEL","Lecturer","Mechanical Engineering","PHD 2007 Ecole Centrale de Lyon"
"BERSU,EDWARD THORWALD","Professor Emer","Biomedical Engineering","PHD 1976 Univ of Wisconsin-Madison"
"BERTELSON,RYAN JOHN","Lecturer","Theatre &amp; Drama","BFA  Univ of Wisconsin-Whitewater"
"BERTRAM,LISA","Associate Professor","Kinesiology","PHD 2007 Yale University"
"BERTRAM,TIMOTHY H.","Professor","Chemistry","PHD 2006 Univ of California Berkeley"
"BERVEN,NORMAN LEE","Professor Emer","Rehab Psychology &amp; Special Ed","PHD 1973 Univ of Wisconsin-Madison"
"BESAW,LUKE ANTHONY","Adjunct Instructor","Amer Ind St","BA 2019 Univ of Wisconsin-Madison"
"BEST,KAREN","Senior Lecturer","English","MA 2009 Univ of Wisconsin-Madison"
"BETHKE,PAUL","Associate Professor","Horticulture","PHD 1995 Univ of California Berkeley"
"BETZ,NATALIE ANNE","Faculty Associate","Ms In Biotechnology Degree Prg","PHD 1992 Univ of Nebraska Medical Ctr"
"BHATTACHARYYA,ANITA","Assistant Professor","Cell And Regenerative Biology","PHD 1993 University of Cincinnati"
"BHAVNANI,RIKHIL","Associate Professor","Political Science","PHD 2010 Stanford University"
