"name","position","department","degree"
"TURNER,WENDY","Lecturer","Forest &amp; Wildlife Ecology",NA
"TURNG,LIH-SHENG","Professor","Mechanical Engineering","PHD 1990 Cornell University"
"TYLER,MITCHELL","Honorary Assoc/Fellow","Biomedical Engineering","MS 1986 Univ of California Berkeley"
"TZAMOS,CHRISTOS","Assistant Professor","Computer Sciences","PHD 2017 Massachusetts Inst Of Tech"
"UDVARI-SOLNER,ALICE","Faculty Associate","Curriculum And Instruction","PHD 1990 Univ of Wisconsin-Madison"
"UHLRICH,DAN","Professor","Department Of Neuroscience","PHD 1983 Brown University"
"ULLAND,TYLER KENT","Assistant Professor","Pathology&amp;Laboratory Medicine","PHD 2014 University of Iowa"
"UNDERWOOD,JULIE","Professor","Ed Leadership&amp;Policy Analysis","PHD 1984 University of Florida"
"UPAH,BARTHOLOMEW G","Lecturer","Counseling Psychology","EDM 2013 Clemson University"
"URNESS,CHARLES TODD","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2012 Univ of Wisconsin-Madison"
"URRUTIA,MATTIE","Faculty Associate","Soil Science","PHD 1989 U de Santiago de Compostela"
"USECHE,ALLISON","Assistant Professor","History","PHD 2017 Columbia University"
"USSISHKIN,DANIEL","Associate Professor","History","PHD 2007 Univ of California Berkeley"
"VAID,UCHITA","Assistant Professor","School Of Human Ecology","PHD 2020 Cornell University"
"VAIL,DAVID","Professor","Medical Sciences","DVM 1984 University of Saskatchewan"
"VALENCIA,SARAH ELIZABETH","Assoc Lecturer","Social Work","MSSW 2007 Univ of Wisconsin-Madison"
"VALEO COOKE,NINA","Faculty Associate","Gender And Women Studies","MS 2008 Univ of Wisconsin-Madison"
"VALKO,BENEDEK","Professor","Mathematics","PHD 2004 Budapest Univ of Tech &amp; Econ"
"VALLEY,JOHN W.","Professor","Geoscience","PHD 1980 Univ of Michigan at Ann Arbor"
"VALLON,MARC","Professor","Mead Witter School Of Music","MFA 1977 Conserv Nat Arts et Metiers"
"VAN  HALLGREN,CARRIE","Senior Lecturer","Theatre &amp; Drama","MFA 2006 Yale University"
"VAN ASSELT,NATHANIEL C.","Clinical Asst Prof","Surgical Sciences","DVM  "
"VAN DAN,REBECCA SUSAN","Assoc Lecturer","Information School","MLIS 1997 Univ of Wisconsin-Madison"
"VAN DE WATER,MANON","Professor","German, Nordic &amp; Slavic","PHD 1996 Arizona State University"
"VAN DEELEN,TIMOTHY","Professor","Forest &amp; Wildlife Ecology","PHD 1995 Michigan State University"
"VAN DER WEIDE,DANIEL","Professor","Electrical &amp; Computer Engr","PHD 1992 Stanford University"
"VAN DYKE JR.,KENNETH JOHN","Assoc Professor (Chs)","Anesthesiology","MD 2002 Univ of Wisconsin-Madison"
"VAN KAN,PETER L E","Associate Professor","Kinesiology","PHD 1984 Univ of California Davis"
"VAN LEHN,REID C","Assistant Professor","Chemical &amp; Biological Engr","PHD 2014 Massachusetts Inst Of Tech"
"VAN MALE,THERESE ANN","Faculty Associate","Nursing","MSN 2014 Duke University"
"VAN MELKEBEEK,DIETER","Professor","Computer Sciences","PHD 1999 University of Chicago"
"VAN OS,JENNIFER","Assistant Professor","Animal And Dairy Sciences","PHD 2015 Univ of California Davis"
"VAN PIJKEREN,JAN PETER","Associate Professor","Food Science","PHD 2007 Ireland (Eire)"
"VAN RIJN,JORDAN","Lecturer","Agricultural&amp;Applied Economics","PHD 2018 Univ of Wisconsin-Madison"
"VAN RYBROEK,GREGORY JOHN","Adjunct Asst Prof","Psychology","JD 1990 Univ of Wisconsin-Madison"
"VAN SICKLEN,BARRET VILAS","Adjunct Instructor","Law School","JD 2006 Univ of Wisconsin-Madison"
"VAN SWOL,LYN","Professor","Communication Arts","PHD 1998 Univ of IL at Urbana-Champaign"
"VANCAMP,ELIJAH B.","Adjunct Instructor","Law School","JD 2007 University of Oregon"
"VANDEN HEUVEL,MIKE","Professor","Classic &amp; Ancient Near E Stds","PHD 1988 Univ of Wisconsin-Madison"
"VANDENBROUCKE,JUSTIN","Associate Professor","Physics","PHD 2009 Univ of California Berkeley"
"VANDER ZANDEN,JAKE","Professor","Integrative Biology","PHD 1999 McGill University"
"VANDERBURG,ANDREW","Assistant Professor","Astronomy","PHD 2017 Harvard University"
"VANDERWALL,CASSANDRA M","Adjunct Asst Prof","Academic Affairs","PHD  Rush University"
"VANVEEN,BARRY","Professor","Electrical &amp; Computer Engr","PHD 1986 Univ of Colorado at Boulder"
"VARDI,URI","Professor","Mead Witter School Of Music","MM 1977 Yale University"
"VARESCHI,MARK","Associate Professor","English","PHD 2011 Rutgers State Univ-Newark"
"VARGAS,MARCELO R","Assistant Professor","Neurology","PHD 2006 Universidad de La Republica"
"VARGAS-PRIETO,ALBERTO M","Faculty Associate","Lat Amer Carib Iber St","PHD 1998 Univ of Wisconsin-Madison"
"VARGHESE,TOMY","Professor","Medical Physics","PHD 1995 University of Kentucky"
"VARSAVA,NINA","Assistant Professor","Law School","JD 2018 Yale University"
"VATAN,FLORENCE","Professor","French And Italian","PHD 2004 University of Chicago"
"VAUGHAN,BRIAN DWIGHT","Lecturer","Ed Leadership&amp;Policy Analysis","JD 1999 Univ of Wisconsin-Madison"
"VAVILOV,MAXIM G","Professor","Physics","PHD 2001 Cornell University"
"VEERAMANI,RAJ","Professor","Industrial &amp; Systems Engr","PHD 1991 Purdue University"
"VEITH,TONYA","Clinical Asst Prof","Communication Sci &amp; Disorders","AUD 2009 Indiana University"
"VELLIQUETTE,MICHAEL JAMES","Faculty Associate","Art","MFA 2000 Univ of Wisconsin-Madison"
"VELTEN,ANDREAS UDO","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2009 University Of New Mexico"
"VEMUGANTI,RAGHU","Professor","Neurological Surgery","PHD 1991 University of Hyderabad"
"VENKATARAMAN,SHIVARAM","Assistant Professor","Computer Sciences","PHD 2017 Univ of California Berkeley"
"VENKATARAMANAN,GIRI","Professor","Electrical &amp; Computer Engr","PHD 1992 Univ of Wisconsin-Madison"
"VENTURA,STEVE","Professor","Soil Science","PHD 1989 Univ of Wisconsin-Madison"
"VENTURELLI,OPHELIA","Assistant Professor","Biochemistry","PHD 2013 California Institute of Tech"
"VENTURINI,MICHELLE","Adjunct Professor","Ms In Biotechnology Degree Prg","MBA  Univ of Wisconsin-Whitewater"
"VERBRUGGE,MARIA","Clinical Instructor","Medical Sciences","DVM 2003 Univ of Wisconsin-Madison"
"VERMILLION,KATIE LEE","Assoc Faculty Assoc","Genetics","PHD 2013 Univ of Minnesota-Twin Cities"
"VESTLING,MARTHA M.","Senior Scientist","Chemistry","PHD 1967 Northwestern University"
"VEZINA,CHAD M.","Professor","Comparative Biosciences","PHD 2003 SUNY at Buffalo"
"VICKROY,CHERYL","Adjunct Professor","Ms In Biotechnology Degree Prg","MBA 2017 Univ of Wisconsin-Madison"
"VIEIRA,CATHERINE","Professor","Curriculum And Instruction","PHD 2010 Univ of Wisconsin-Madison"
"VILA,ANNE","Professor","French And Italian","PHD 1990 Johns Hopkins University"
"VILLAGRAN,JOSE G","Assoc Lecturer","Chicana/O And Latina/O Studies","PHD 2019 University of Texas at Austin"
"VIMONT,DANIEL","Professor","Atmospheric &amp; Oceanic Sciences","PHD 2002 University of Washington"
"VINCENT,ERIC B.","Honorary Assoc/Fellow","Ms In Biotechnology Degree Prg",NA
"VINEY,GRETCHEN","Dis Clinical Prof","Law School","JD 1978 Univ of Wisconsin-Madison"
"VITCENDA,ANGELA K.","Clinical Asst Prof","Family Medicine","MS 1986 Univ of Wisconsin-Madison"
"VIVIAN,EVA","Professor (Chs)","Pharmacy","PHARMD 1995 Univ of Illinois at Chicago"
"VIVIANO,KATRINA ROSE","Clinical Assoc Prof","Medical Sciences","DVM 2003 Univ of Wisconsin-Madison"
"VLACH,HALEY","Associate Professor","Educational Psychology","PHD 2012 Univ of California Los Angeles"
"VOGE,CASSIE","Clinical Assoc Prof","Nursing","MSN 2000 Univ of Wisconsin-Madison"
"VOILS,CORRINE I","Professor","Surgery","PHD 2001 University of Kentucky"
"VON SIMSON,CHARLES","Clinical Assoc Prof","Law School","JD 1995 Brooklyn Law School"
"VOPAL,EDWARD JOHN","Adjunct Instructor","Law School","JD 1994 Valparaiso University"
"VOYLES,PAUL","Professor","Materials Science&amp;Engineering","PHD 2001 Univ of IL at Urbana-Champaign"
"VRANAS,PETER B. M.","Professor","Philosophy","PHD 2001 Univ of Michigan at Ann Arbor"
"VUE,GOODSON","Lecturer","Vp Diversity And Climate Prog","MS 2010 Univ of Wisconsin-Whitewater"
"WACKER,LEEANN SOO","Professor L/I","Civil &amp; Environmental Engr","M.ARCH  "
"WAGGONER,JESS","Assistant Professor","Gender And Women Studies","PHD 2016 Indiana University"
"WAGH,SIDDESH","Visiting Asst Prof","Mathematics","PHD 2019 University of Oklahoma"
"WAGNER,AMY LEE","Lecturer","Human Development&amp;Family Study","PHD 2018 Univ of California Davis"
"WAGNER,BRIT","Assoc Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2020 Univ of Wisconsin-Madison"
"WAGNER,MICHAEL","Professor","Journalism&amp;Mass Communication","PHD 2006 Indiana University"
"WAGNER,MIKE","Assistant Professor","Mechanical Engineering","PHD 2017 Colorado School of Mines"
"WAGNER,ROB","Assoc Faculty Assoc","Theatre &amp; Drama","MFA 1994 University of Texas at Austin"
"WAGNER,TERA HOLTZ","Faculty Associate","Life Sciences Communication","BA 2013 Univ of Wisconsin-Madison"
"WAGNER,TIAHA","Clinical Instructor","Academic Affairs","PHARMD 2016 Univ of Wisconsin-Madison"
"WAGNER,TIMOTHY J","Lecturer","Atmospheric &amp; Oceanic Sciences","PHD 2011 Univ of Wisconsin-Madison"
"WAHEED,SANA","Asst Professor (Chs)","Medicine","MD 2011 Aga Khan University"
"WAKAI,RONALD T.","Professor","Medical Physics","PHD 1987 Univ of IL at Urbana-Champaign"
"WAKKER,BASTIAAN","Assoc Lecturer","Astronomy","PHD 1990 University of Groningen"
"WALASZEK,ART","Professor (Chs)","Psychiatry","MD 1997 Northwestern University"
"WALBRANDT PIGARELLI,DENISE","Assoc Professor (Chs)","Pharmacy","PHARMD 1993 Univ of Wisconsin-Madison"
"WALDEN,JUSTINE ANGELIQUE","Lecturer","History","PHD 2016 Yale University"
"WALDRON,ALEX","Assistant Professor","Mathematics","PHD 2014 Columbia University"
"WALEFFE,FABIAN","Professor","Mathematics","PHD 1989 Massachusetts Inst Of Tech"
"WALKER,CHRISTOPHER A","Professor","Dance","MFA 2004 SUNY College at Brockport"
"WALKER,JAMES R","Professor","Economics","PHD 1986 University of Chicago"
"WALKER,JULIE M","Clinical Assoc Prof","Medical Sciences","DVM 2008 Michigan State University"
"WALKER,THAD G","Professor","Physics","PHD 1988 Princeton University"
"WALLACE,GEOFFREY L.","Associate Professor","Lafollette Sch Of Publ Affairs","PHD 1999 Northwestern University"
"WALLACE,SUZANNE BETH","Clinical Asst Prof","Nursing","DNP 2012 Univ of Wisconsin-Stout"
"WALLER,KEN","Clinical Assoc Prof","Surgical Sciences","DVM 2007 Univ of Wisconsin-Madison"
"WALLER,SHELLY","Lecturer","Administration-Vmth","MS 2007 Univ of Wisconsin-Madison"
"WALLMANN,JOHANNES","Associate Professor","Mead Witter School Of Music","PHD 2010 New York University"
"WALSH,JENNIFER","Lecturer","Counseling Psychology","MS  Western Illinois University"
"WALSH,JOHN EDWARD","Senior Lecturer","Wisconsin School Of Business","JD 1975 Univ of Wisconsin-Madison"
"WALSH,JOSEPH G","Faculty Associate","Real Estate &amp; Urgan Land Econ","MS 1992 Univ of Wisconsin-Madison"
"WALSH,KATE","Associate Professor","Psychology","PHD 2011 University of Nebraska-Lincoln"
"WALSH,MATTHEW CUNNINGHAM","Lecturer","Academic Affairs","DRPH 2010 Univ of Wisconsin-Madison"
"WALSH,TOVA B","Assistant Professor","Social Work","PHD 2013 Univ of Michigan at Ann Arbor"
"WALTER,ALEXANDRA","Lecturer","German, Nordic &amp; Slavic","PHD 2002 Univ of Wisconsin-Madison"
"WANDEL,LEE PALMER","Professor","History","PHD 1985 Univ of Michigan at Ann Arbor"
"WANG,BOTONG","Assistant Professor","Mathematics","PHD 2012 Purdue University"
"WANG,BU","Assistant Professor","Civil &amp; Environmental Engr","PHD 2012 "
"WANG,DAIFENG","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2015 Yale University"
"WANG,HAN","Assistant Professor","Integrative Biology","PHD 2013 Univ of Southern California"
"WANG,JENNIFER LYNN HYLAND","Lecturer","Communication Arts","PHD 2006 Univ of Wisconsin-Madison"
"WANG,JUE","Professor","Bacteriology","PHD 2002 U of California San Francisco"
"WANG,MARY","Faculty Associate","English","MA 1995 University of Hawaii at Manoa"
"WANG,MIAOYAN","Assistant Professor","Statistics","PHD 2014 University of Chicago"
"WANG,TINA","Assistant Professor","Chemistry","PHD 2015 Yale University"
"WANG,XIN","Assistant Professor","Industrial &amp; Systems Engr","PHD 2015 Univ of IL at Urbana-Champaign"
"WANG,XUDONG","Professor","Materials Science&amp;Engineering","PHD 2005 Georgia Inst of Technology"
"WANG,XUELI","Professor","Ed Leadership&amp;Policy Analysis","PHD 2008 Ohio State University"
"WANG,YANG","Associate Professor","Lafollette Sch Of Publ Affairs","PHD 2009 Duke University"
"WANG,YAZHEN","Professor","Statistics","PHD 1992 Univ of California Berkeley"
"WANG,YI","Assistant Professor","Horticulture","PHD 2012 Univ of Wisconsin-Madison"
"WANG,YING","Assistant Professor","Electrical &amp; Computer Engr","PHD  Univ of California Berkeley"
"WANGERIN, JOANNA","Senior Lecturer","Accting &amp; Info Sys","MPA  Univ of Wisconsin-Whitewater"
"WANGERIN,DAN","Associate Professor","Accting &amp; Info Sys","PHD 2011 "
"WANNER,ANJA","Professor","English","PHD 1997 Padagogische Hochsch Gottingen"
"WARD,DAVID ALLEN","Senior Lecturer","Wisconsin School Of Business","PHD 1999 Univ of Wisconsin-Madison"
"WARD,EARLISE","Professor","Nursing","PHD 2002 Univ of Wisconsin-Madison"
"WARD,EMILY J","Assistant Professor","Psychology","PHD 2016 Yale University"
"WARDRIP,PETER THOMAS","Assistant Professor","Curriculum And Instruction","PHD 2014 University of Pittsburgh"
"WARFIELD,TERRY D","Professor","Accting &amp; Info Sys","PHD 1989 University of Iowa"
"WARGOWSKI,DAVID STEPHAN","Professor (Chs)","Pediatrics","MD 1985 Univ of Wisconsin-Madison"
"WARNER,H WILLIAM","Assoc Lecturer","History","PHD 2017 Univ of Wisconsin-Madison"
"WARREN ANDERSEN,SHANEDA","Assistant Professor","Population Health Sciences","PHD 2013 Univ of Wisconsin-Madison"
"WASSARMAN,DAVID","Professor","Genetics","PHD 1992 Yale University"
"WASSARMAN,KAREN","Professor","Bacteriology","PHD 1992 Yale University"
